iter	Logloss
0	0.6883391813
1	0.6834084522
2	0.6774608445
3	0.6722365011
4	0.6669253453
5	0.6591805638
6	0.6543213614
7	0.6495167827
8	0.6442819113
9	0.6396831357
10	0.6345483586
11	0.6297332252
12	0.6254820285
13	0.6216284183
14	0.6165066092
15	0.6120027341
16	0.6077866959
17	0.6039665495
18	0.5999130143
19	0.5957870619
20	0.5922514915
21	0.5880078538
22	0.5845005467
23	0.5818864075
24	0.5784056213
25	0.5753722743
26	0.5720663182
27	0.5684863995
28	0.5647261629
29	0.5613006546
30	0.5587838173
31	0.5558420152
32	0.5534691012
33	0.5508830871
34	0.5480100113
35	0.545818491
36	0.542724291
37	0.5403168388
38	0.5381166535
39	0.5355640206
40	0.5325657087
41	0.5300939215
42	0.5274092237
43	0.5250838626
44	0.5233885479
45	0.5212134075
46	0.5187213672
47	0.5167046026
48	0.5148990145
49	0.5135210494
50	0.5115828291
51	0.5101797661
52	0.5083534968
53	0.5066593
54	0.5054369058
55	0.5038564555
56	0.5028602984
57	0.5014853747
58	0.5004562084
59	0.4988997089
60	0.4973745408
61	0.4958019804
62	0.4940605322
63	0.4929974882
64	0.4917430392
65	0.4904598104
66	0.4890402291
67	0.4876717989
68	0.4862369716
69	0.4852170677
70	0.4840605914
71	0.48296961
72	0.48152739
73	0.4805271729
74	0.4793384131
75	0.4785614811
76	0.4774489262
77	0.4765477721
78	0.4757727271
79	0.4739315106
80	0.4731442978
81	0.4719229658
82	0.4708567916
83	0.4698465681
84	0.4689340103
85	0.4682079101
86	0.4670528023
87	0.4663086378
88	0.4656101305
89	0.4649201505
90	0.4640874419
91	0.4628367216
92	0.4616732376
93	0.4609288895
94	0.4602391308
95	0.4595246809
96	0.4590579914
97	0.4586431083
98	0.4578373605
99	0.4571421278
